feed,사료|먹이|공급하다|수유|사육
track,추적하다|궤도|트랙|기록|경로
supper,저녁 식사|만찬|야식
subject,주제|과목|대상|주어|국민
stranger,낯선 사람|이방인|모르는 사람|남
step,단계|조치|걸음|계단|스텝
practice,관습|실천하다|연습하다|실제|행위
power,전력의|힘|권력|파워|권한
poem,시
pity,연민|동정|유감|애석한|불쌍한
pilot,조종사|파일럿|비행사|시범|시험
pair,한 쌍|한 벌|짝지어주다|2인조
movement,운동|움직임|이동|동작|변화
invitation,초대|초청|참석|제의|신청
inside,내부|안쪽|…안에
industry,산업|업계|제조업|공업
idea,생각|아이디어|개념|사상|방법
hut,오두막
hero,영웅|주인공|용사
health,건강|보건|의료|헬스|몸에 좋음
harvest,수확|추수|생산|채취|획득
elephant,코끼리
effort,노력|작업|활동
earth,지구|땅|흙
dish,음식|요리|접시|식기
adventure,모험|어드벤처|도전
come up to,…에 도달하다|…에 필적하다|…까지 오다
by the way,그런데|덧붙여 말하는|부언
be over,
emphasis,강조|중점|중요|중시|주안점
strive,노력하다|애쓰다|분투하다|싸우다
be careful of,
be from,
for a long time,
premium,프리미엄|보험료|고급의|권리금|높은
hub,중심|중핵|허브
over,…이상|끝나서|위의|너무
emigrate,이주하다|이민하다
donation,기부|기증|헌혈|모금|성금
library,도서관|서재|장서
artificial,인공의|인위적인|인조의
avocation,부업|취미|여기
site,사이트|현장|유적지|장소|부지
fix,고치다|고정하다|해결하다|음식을 준비하다|정하다
treat,치료하다|처리하다|대하다|대우하다|취급하다
reasonable,합리적인|합당한|이성적인|논리적인|분별이 있는
day off,비번|쉬는 날|하루휴가
market,시장|마켓|상가
corporation,기업|회사|법인
pick up,집다|들다|회복하다|받다|배우다
stock,주식|증권|스톡|재고
project,프로젝트|사업|계획|과제|기획
crisis,위기|문제|사태|혼란|위험
predict,예측하다|전망하다|예상하다|예견하다|예보하다
for the first time,처음으로|…만에|최초로
get back,돌아가다|다시|복귀하다|연락하다|되찾다
hang up,전화를 끊다|걸다|전화를 끊는 소리
at the same time,동시에|하면서|같은 시간|역시|한번에
at that time,
in some ways,여러 가지 점에서
limitation,한계|제한|제약|한정|제한하는 것
nonprofit,비영리적인
plant,식물|공장|심다|플랜트|시설
receipt,영수증|증서
on time,정기적인|정각에|제때에
on vacation,
once upon a time,옛날 옛적에|먼 옛날에
one another,서로|상호
one by on-e,
pass through,꿰뚫다|창구|통과 지점
valuable,가치있는|귀중한
vacate,비우다|철수|떠나다|폐쇄|퇴거
upstart,벼락부자|갑자기 일어서다|갑자기 잘된 사람
update,갱신|업데이트|최신|새로운|정보
upgrade,업그레이드|상향|높이다|개선|향상
ahead of,앞두고|앞서는|전에|앞으로|앞에는
after all,결국|무엇보다|하지만|어쨌든|아무튼
the lack of,
demand,요구하다|수요|까다롭다|요청하다
terminate,끝내다|해지하다|해고하다|해치우다
tentative,잠정적인|시안|불확실한
temptation,유혹
temporary,일시적인|비정규직|임시의|가설|한시
suction,빨기|흡인|흡입력이 생기기
submit,제출하다|제시하다|복종하다|굴복하다
strength,힘|강점|강함|능력|강세
strictly,엄격히|철저히|전적으로|순전히|강력히
style,스타일|방식|양식|형식|문체
select,선택하다|선발하다|고르다|선별하다|엄선된
separate,분리하다|개별적인|별거하다|구분하다|흩어지다
sentence,문장|선고|처벌|말|글
security,안보|보안|안전|증권|보장
secondhand,중고의|간접의|헌
seafood,해산물|해산 식품|어패류 요리
seal,물개|바다표범|봉인|도장|폐쇄하다
save,구하다|절약하다|살리다|저축하다
rule,규칙|규정|통치하다|지배하다|법칙
restore,회복하다|복원하다|되찾다|되돌리다|재건하다
respond,반응하다|대응하다|답하다|응답하다|대처하다
respect,존중|존경하다|관련되다|관계하다|측면
resource,자원|부|자료|자산|공급원
