游泳,수영하다|수영|헤엄치다
右边,오른쪽|우측
意思,뜻|의사|의견
一起,한 곳|한데|같이
因为,…때문에|…에 의하여|왜냐하면
阴,음|태음|흐리다
已经,이미|벌써
也,판단·결정의 어기를 표시|…도 또한|…할 뿐더러 또 …하다
要,구하다|약속|성
药,약|화학 약품|약으로 치료하다
颜色,색채|안료|색
眼睛,눈의 통칭|안중|안목
羊肉,양고기
雪,눈|희다|씻다
希望,희망|희망하다|원망
休息,휴식|휴양|휴업
姓,성|성이 …이다|…을 성으로 하다
新,새롭다|새롭게 하다|새사람
西瓜,수박|수박의 열매
小时,시간|시|아워
笑,웃다|비웃다|웃음
向,방향|향하다|…로
洗,씻다|세례|성
问题,문제|사고|질문
问,묻다|…에게|소식
为什么,무엇 때문에|왜|어째서
晚上,저녁|밤
玩,놀다|쓰다|업신여기다
完,완전하다|다하다|끝
外,밖|딴 데|친척 관계를 나타내는 명사 앞에 붙어 외척임을 나타냄
跳舞,춤을 추다|춤
题,제|문제|적다
它,그|저|그것
所以,인과 관계의 문장에서 결과나 결론을 나타낸다|그래서|그런 까닭에
送,보내다|주다|배웅하다
手机,휴대폰|핸드폰|휴대전화
手表,손목시계
事情,일|사건|볼일
时间,시간|시각|틈
身体,신체|몸|건강
生日,생일|생신|살아 있는 날
生病,병이 나다|발병하다
上班,출근하다|당번 근무를 하다|고관
让,양보하다|…에게|성
去年,작년|지난 해|전년
妻子,아내와 자식|아내|처
晴,개다|맑다|개어 있다
起床,일어나다|기상하다|기침하다
千,천|매우 많다|절대로
票,표|지폐|따위에서의 한 건
便宜,편리하다|싸다|헐하다
跑步,구보|달리기|구보를 하다
旁边,옆|곁|부근
女人,여자|여인|처
牛奶,우유
您,당신|선생님|귀하
男人,남자|남편
门,문
妹妹,누이동생|나이가 어린 여자|여동생
每,매|늘|…들
忙,바쁘다|서두르다|초조감
慢,느리다|늦추다|않다
卖,팔다|옛날에 음식점에서 요리를 세던 단위|성
旅游,여행|관광|여행하다
路,길|노정|노선
两,2|쌍방|두 가지의
离,분리하다|…에서|팔괘의 하나
累,"복잡하다|밧줄|오랏줄로 묶다|지치다, 피곤하다"
快乐,즐겁다|유쾌하다|만족하다
快,빠르다|속도|빨리
可以,…할 수 있다|…해도 좋다|…할 가치가 있다
可能,가능하다|가능성|아마
课,수업|과|가르치다
考试,시험|고사|시험을 치다
开始,개시하다|시작되다|시작하다
咖啡,커피나무|커피
觉得,…라고 느끼다|…라고 여기다
就,다그다|…에 의하면|곧
近,가깝다|가까이하다|비슷하다
进,나아가다|들다|채
介绍,소개하다|추천하다|중매하다
姐姐,누나|언니|친척 중 같은 항렬로 자기보다 나이가 위인 여자를 부르는 칭호
鸡蛋,계란|달걀
机场,비행장|공항
教室,교실
件,"일·사건·개체의 사물을 세는 데 사용함|주로 1음절어 뒤에 붙어 명사를 구성하며, 하나하나 셀 수 있는 물건을 가리킴|문서"
回答,대답하다|회답하다|회답
欢迎,환영하다|즐겁게 받아들이다|매우 즐겁게 영접하다
红,다홍|붉다
黑,검다|어둡다|저녁
好吃,맛있다|맛나다|먹기 좋아하다
号,소리 지르다|이름|명
孩子,아이|자녀|자식
