succulent,즙이 많은|흥미진진한|액이 많은
subpoena,소환장|…을 소환하다|벌칙부 소환 영장
retribution,응보|보복|징벌
retard,…을 늦추다|방해하다|지연
rebate,리베이트|할인|환불|보조금|환급
subservient,보조적인|부차적인|비굴한
sanguinary,피비린내 나는|잔인한|지독한
repertoire,레퍼토리|상연 목록|상연 종목 일람
redress,구제|보상|교정하다
somber,수수한|어두컴컴한|침울한
saline,염분을 함유한|짠|함염물
resonant,울려 퍼지는|울리는|공명음
recriminate,비난에 비난으로 맞서다|맞고소하다|반소하다
somnolent,졸린|잠이 오게 하는|거의 잠이든
shoddy,가짜의|조악한|싸구려
reiterate,되풀이하다|다시 행하다|장황하고 지루하게 반복하다
recluse,은둔자|은둔한|속세를 떠난
sludge,슬러지|침전물|진흙
slake,만족시키다|소화하다|달래다
resilient,회복력 있는|탄력이 있는|튼튼한|강력한|복원력
recycle,재생하다|재활용하다
squander,낭비하다|낭비|헤프게 쓰다
satiate,물리게 하다|만족시키다|…을 충분히 만족시키다
relapse,되돌아가다|재발|다시 빠지다
recumbent,드러누운|기댄|태만한
supercilious,거만한|시건방진|잘난 척하는
seethe,삶다|끓다|끓어 오르다
replica,복제|모형|모조품|레플리카 |복원물
redoubtable,가공할|강력한|존경할 만한
sundry,여러 가지의|가지가지의|잡다한
relic,유물|유적|유골
referendum,국민투표|주민투표|선거
succinct,간결한|간명한|말의 간결성이 특징인
salient,현저한|두드러진|돌출부
reprehend,책망하다|꾸짖다|나무라다
rapport,관계|협조|일치
subterranean,지하의|지하 동굴|숨은
sedentary,앉아서 하는|앉아 있는|앉은 자세의
remunerate,보답하다|…에게 보수를 주다|보상하다
regal,리갈|왕의|당당한
subterfuge,핑계|구실|기피
scintillate,불꽃을 내다|번쩍이다|번득이다
repudiate,부인하다|거절하다|거부하다
raucous,목쉰 소리의|귀에 거슬리는|쉰 목소리의
subsidiary,자회사|제2주제|보조의|보조금의|보조자
sententious,설교투의|금언적인|간결한
resurrection,부활|되살아남|재생
recuperate,회복하다|되찾다|건강을 되찾게 하다
soliloquy,독백|혼잣말|혼자말
senile,노망한|노인|노망한 사람
reprisal,보복|보복적 나포|앙갚음
recalcitrant,고집센|저항하는|당할 수 없는
subjugate,…을 복종시키다|정복하다|…을 지배하에 두다
revoke,취소하다|철회하다|폐지|백지화|무효
requiem,진혼곡|죽은 이를 위한 미사|추도 미사
redolent,향기로운|암시하는|상기시키는
subsidy,보조금|지원금|장려금|수급|보상금
saunter,빈둥거리다|산보하다|산책
rendezvous,집합|회합|랑데부
regress,퇴보|회귀하다|역행하다
stolid,무신경의|둔감한|멍청한
sacrilegious,신성을 더럽히는|교회를 침범하는|모독적인
retrench,삭제하다|절약하다|절감하다
recapitulate,…을 요약하다|요점을 되풀이하다|개괄하다
sloppy,단정치 못한|질척질척한|흠뻑 젖은
revile,…을 욕하다|욕설을 퍼붓다|…의 욕을 하다
replenish,보충하다|보급하다|다시 채우다
ravenous,탐욕스러운|걸신들린|굶주린
sojourn,묵다|체류하다|체류
secede,탈퇴하다|탈당하다
reprieve,형 집행을 유예하다|형 집행의 유예|일시적 경감
rebut,…을 반박하다|논박하다|끽소리 못하게 하다
subvert,전복하다|…을 파멸시키다|부패시키다
segregate,분리하다|격리하다|차별하다
repository,창고|저장소|저장실
recant,철회하다|…을 부인하다|취소하다
voracious,대식하는|식욕이 왕성한|탐욕적인
upkeep,유지비|유지|보존
unmanly,여자 같은|비겁한|사내답지 못하게
temperament,기질|성격
virtuoso,거장|대가|명인
unravel,풀다|…을 해명하다|해결하다
undulate,물결치다|물결치듯하다|파상의
transfigure,…을 변모시키다|거룩하게 하다|…의 외형을 바꾸다
upbringing,교육|양육|성장|가정교육|자람
unseemly,부적당한|꼴사납게|보기 흉한
twinge,발작적인 날카로운 아픔|쑤시듯이 아프다|짜릿한 통증
transpire,일어나다|발견하다|발산하다|배출하다
volition,의욕|결단력|의지
unseat,…을 좌석에서 밀어내다|…을 낙마시키다|정치적 관직에서 물러나게 하다
travesty,희화화하다|우습게 한 것|우스꽝스럽게 고침
swerve,곡구|빗나가다|정도를 벗어나다
warp,휘게 하다|구부리다|왜곡하다
veracious,정직한|진실한|정확한
umbrage,불쾌|그림자|우거진 나뭇잎
surreptitious,비밀의|뒤가 구린|몰래 하는
waive,포기하다|보류하다|미루다
unruly,제멋대로|다루기 힘든|무질서한|난폭한|통제불능
unilateral,일방적인|한쪽만의|편무 계약의
tirade,장광설|긴 공격 연설|장황한 열변
vomit,구토|토하다|토사물|게워내다
urbane,세련된|도시풍의|우아한
tyro,초심자|초보자|초학자
tether,한계|밧줄로 매다|범위
upbeat,낙관적인|경쾌한|상승 기조|즐거운|상박
unremitting,끊임없는|끈기 있는|약화되지 않는
ubiquitous,편재하는|어디에나 존재하는|도처에 모습을 나타내는
tenuous,얇은|빈약한|보잘것없는
verdant,신록의|초록의|젊은
unwitting,모르는|무의식적인|의식하지 않은
trenchant,신랄한|통렬한|날카로운
surveillance,감시|사찰|추적|정찰|도청
unveil,공개|발표하다|선보이다|밝히다|제막
unrelenting,무자비한|확고 부동한|엄한
unkempt,흐트러진|어질러진|단정하지 못한
translucent,반투명의|반투명인|투명한
wrangle,말다툼하다|논쟁하다|논쟁
unstable,불안정한|변하기 쉬운|고정성 없는
unceasing,끊임없는|쉴 새 없는|부단한
tenure,보유|종신 재직권|보유 기간
verbiage,장황|말씨|쓸데없는 말이 많음
ungainly,보기 흉한|볼품없는|보기 흉하게
unflagging,지칠 줄 모르는|중단함이 없는|늘어지지 않는
supple,나긋나긋한|유연한|유순한
vernacular,사투리|지방어|자국어
uxorious,아내를 너무 위하는|아내를 극진히 위하는|아내에게 무른
unfasten,끄르다|풀다|벗겨지다
toxic,유독한|중독성의|중독의
vociferous,큰 소리로 외치는|떠들썩한|시끄러운
unoccupied,주인없는|빈|사용중이지 않은
uncanny,불가사의한|무시무시한|신비로운
tantalize,…을 애타게 하여 괴롭히다|감질나게 하다|…을 보여주어 감질나게 하다
version,버전|판|형태|_본
vacillate,동요하다|변동하다|흔들리다
unearth,발굴하다|…을 파내다|…을 발견하다
synopsis,개요|개략|요약
vivacious,활발한|쾌활한|명랑한
vegetate,생장하다|단조로운 생활을 하다|하는 일 없이 지내다
unbiased,characterized by a lack of partiality
torpid,둔한|휴면하고 있는|Oxford대학의 춘계 보트레이스
vertex,정점|정상|꼭대기
untenable,지지할 수 없는|거주할 수 없는|지킬 수 없는
turbulent,사나운|폭풍우의|험한
synergy,협동|상승 작용|상승효과
vindictive,사나운|복수심|악의|앙심
upbraid,비난하다|나무라다|꾸짖다
unbecoming,어울리지 않는|온당치 않은|보기 흉한
surrogate,대용물|대리인|대리
visage,얼굴|용모|외관
unplug,마개를 뽑다|…에서 전원을 끊다|장애물을 제거하다
unassuming,주제넘지 않는|젠체하지 않는|겸손한
taboo,금기|터부|금제의
versed,숙달한|정통한|reversed
usurp,빼앗다|침해하다|탈권하다
unfaltering,비틀거리지 않는|단호한|확고한
tepid,미지근한|미온의|열성이 없는
vertigo,현기|어지러움|혼란
upheaval,격변|융기|대변동
turgid,부어오른|과장된|부푼
taciturn,과묵한
unscrupulous,비양심적인|파렴치한|거리낌 없는
unnerve,불안한|실망한|소름끼치는|~을 무기력하게 하다|당황시키다
traduce,비방하다|중상하다|중상모략하다
vicarious,대리의|대리를 하는|대리직의
verbose,말 수가 많은|말이 많은|장황한
trepidation,전율|공포|동요
supervise,감독하다|관리하다|감시하다
vilify,비방하다|…을 헐뜯다|중상하다
vengeance,복수
turbid,탁한|자욱한|혼란된
supine,손바닥을 위로 향한|무기력한|나태한
veer,…의 방향을 바꾸다|바뀌다|방향이 바뀌다
upstart,벼락부자|갑자기 일어서다|갑자기 잘된 사람
uncompromising,타협하지 않는|강경한|완고한
supplant,대체하다|대신하다|대신 들어앉다
audacity,뻔뻔스러움|대담|용맹
arraign,…을 규탄하다|피고인에게 소인의 인부를 묻다|책망하다
alacrity,민활|민첩|활기
ablation,제거|삭마|절제
assess,평가|예측|결정|검토|산정
apocalyptic,계시의|천계의 계시록의|대참사의 도래를 예언하는
amnesia,기억 상실|기억상실증
accretion,축적|누적
avid,열렬한|열심인|몹시 탐내는
approbation,승인|시인|칭찬
ajar,불화한|조금 열린|서로 용납하지 않는
affiance,…을 약혼시키다|신뢰|서약
autopsy,검시|부검|시체 해부
artisan,장인|기능공|숙련공
ambivalent,상반하는 감정을 품은|상반된 감정이 공존하는|불확실한
adjoin,인접한|주변|붙어있는|맞닿은|연결하다
attache,대사관원|수행원|외교관 시보
arduous,힘드는|고된|분투적인
amalgamate,혼합시키다|합동하다|융합하다
acrimonious,신랄한|매서운|호된
assort,…을 분류하다|어울리다|구색을 갖추다
arbitrary,임의의|독단적인|제멋대로의
alleviate,경감하다|완화하다|덜다
aboriginal,원주민|토착|원시|원래의
attenuate,가늘어지다|약하게 하다|가늘게 하다
arena,장(場)|영역|아레나
aggrandize,크게 하다|…을 증대하다|확대하다
adjure,간청하다|명하다|엄명하다
baneful,파멸시키는|유해한|유독한
antiseptic,소독제|방부제|살균의
amphibious,수륙 양생의|이중 인격의|상륙 작전용의
adulterate,불순물을 섞은|…의 품질을 떨어뜨리다|섞음질하다
atypical,대표적 예가 아닌|무정형한|이상한
aphorism,격언|금언|경구
anathema,저주|파문|증오
adamant,단호한|비길 데 없이 견고한 것|매우 단단한
attrition,마찰|감소|마멸
apathy,냉담|무관심|무감각
akin,비슷한|같이|유사한|다름없는|마찬가지
accost,말을 걸다|인사하다|상대방에게 다가가서 말을 걸다
augment,증강|증가시키다|강화|늘다
antinomy,자기 모순|이율 배반|자가당착
anecdote,일화
abash,당황하게 하다|부끄럽게 하다|당황시키다
avow,공약하다|맹세하다|다짐|시인
antithesis,대조
amass,축적하다|…을 모으다|모이다
abeyance,중단|중지
astral,별의|별이 많은
antibody,항체|항독소|(약어)Ab
animated,생기 있는|기운찬|싱싱한
adduce,…을 제출하다|…을 인용하다|인증하다
avarice,탐욕|강한 욕망|허욕
askance,곁눈으로|비스듬히|의심쩍은 마음으로
agnostic,불가지론자|불가지론의|인지 불능의
abjure,…을 버리다|저버리다|부인하다|회피하다|취소하다
asymmetry,비대칭|불균형
apportion,배분하다|할당하다
alluvial,충적토|충적층의|충적
adroit,능숙한|교묘한|솜씨있는
austerity,내핍|엄격|꾸밈없음
arable,경작에 알맞은|농작 가능한|경작지
altercation,언쟁|격론|논쟁
accessory,액세서리|장신구|부대적인
awry,구부러져|비뚤어져|뒤틀어져
aseptic,무균의|방부제|방부 처리의
aplomb,침착|수직|태연
adolescent,청소년|청년
avocation,부업|취미|여기
antiquated,구식의|낡아빠진|시대에뒤진
amorphous,무정형의|비결정질의|조직이 없는
agape,입을 딱 벌리고|멍하니|아연하여
assassinate,암살하다|살해하다
apostate,변절자|배교자|탈당자
anesthetic,마취의|마취제|마취약
acclimate,순응하다|적응하다
autocracy,독재 정치|독재권|전제 군주국
annex,병합하다|부가물|합병하다
alias,별명|가명|일명 …
adulation,아첨|지나친 찬사|추종
asylum,망명|피난처|보호
apposite,적절한|적당한|딱 들어맞는
amphitheater,원형 극장|계단식 관람석|원형경기장
ablution,목욕재계|목욕|세정|씻기
assuage,진정시키다|누그러뜨리다|달래다
arrear,체납금|미불금|지체|밀림
anachronism,시대 착오|시대에 뒤진 것|시대 착오적인 것
adumbrate,윤곽을 그리다|…을 예시하다|…을 어둡게 하다
banal,진부한|평범한|흔해빠진
archetype,원형|전형|모범
aghast,깜짝 놀라|혼비백산하여|대경 실색한
accolade,수상|포상|영예|찬사
asperse,…을 중상하다|…에게 퍼붓다|험담하다
apotheosis,신격화|신성시|신성
annals,연대기|연표|연보
accrue,발생하다|생기다|붙다|획득하다
atheist,무신론자|무신앙자
arrogate,사칭하다|가로채다|부당하게 요구하다
anarchy,무정부 상태|무질서|정치적·사회적 혼란
abyss,심연|혼란|나락|혼돈|지옥
